global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
998,لذذ,,3,2,3,41.4,-0.00,,47,-0.0,0.536
999,جثو,,3,2,2,41.3,-0.00,,45,0.2,0.392
1000,جدث,,3,1,3,41.3,-0.18,,70,0.7,0.271
1001,متن,,3,1,3,41.2,-0.18,,68,0.4,0.361
1002,محو,,3,3,3,41.2,+0.12,,42,-0.2,0.646
1003,جذع,,3,2,2,41.1,-0.00,,19,0.0,0.487
1004,جود,,3,3,3,41.0,+0.12,,111,5.8,0.0979
1005,دعع,,3,2,2,41.0,-0.00,33,107,7.8,0.04
1006,ضجع,,3,1,3,40.9,-0.18,,32,-0.2,0.642
1007,طفء,,3,2,3,40.9,-0.00,,61,0.0,0.479
1008,ضغث,,3,2,3,40.8,-0.00,,38,-0.3,0.704
1009,لجء,,3,2,2,40.7,-0.00,,42,-0.3,0.7
1010,جیب,,3,2,3,40.7,-0.00,,27,-0.4,0.781
1011,رغد,,3,1,2,40.6,-0.18,,16,-0.5,0.982
1012,سلل,,3,2,3,40.6,-0.00,,32,0.0,0.533
1013,سلو,,3,1,3,40.5,-0.18,,20,-0.5,0.993
1014,ظمء,,3,3,3,40.4,+0.12,,24,-0.4,0.846
1015,طفق,,3,1,3,40.4,-0.18,,38,-0.4,0.751
1016,نکس,,3,3,3,40.3,+0.12,,32,0.1,0.466
1017,نکف,,3,2,1,40.3,-0.00,,4,-0.4,0.769
1018,نقب,,3,3,3,40.2,+0.12,,50,-0.2,0.628
1019,نفذ,,3,2,1,40.2,-0.00,,55,3.2,0.17
1020,خیط,,3,2,2,40.1,-0.00,,2,-0.5,1
1021,عبس,,3,2,3,40.0,-0.00,,80,1.6,0.211
1022,بهج,,3,2,3,40.0,-0.00,,50,-0.1,0.57
1023,بهم,,3,1,2,39.9,-0.18,,22,-0.2,0.629
1024,ءفق,,3,2,3,39.9,-0.00,,81,1.4,0.221
1025,ءلس,,3,2,2,39.8,-0.00,,37,0.1,0.482
1026,حدق,,3,1,3,39.7,-0.18,,80,1.4,0.211
1027,حرض,,3,2,3,39.7,-0.00,,8,-0.5,0.926
1028,مرح,,3,2,3,39.6,-0.00,,31,-0.2,0.642
1029,سندس,,3,1,3,39.6,-0.18,,76,0.4,0.331
1030,أله,,3,3,3,39.5,+0.12,,38,-0.2,0.669
1031,عری,,3,2,3,39.4,-0.00,,68,0.1,0.466
1032,ءسو,,3,1,2,39.4,-0.18,,60,1.3,0.231
1033,ءصر,,3,2,3,39.3,-0.00,,7,-0.6,1
1034,ءفف,,3,1,3,39.3,-0.18,,46,-0.2,0.663
1035,نضد,,3,2,3,39.2,-0.00,,56,0.1,0.429
1036,نضر,,3,2,3,39.2,-0.00,,83,1.5,0.207
1037,نسب,,3,2,3,39.1,-0.00,,37,-0.2,0.647
1038,خفت,,3,2,3,39.0,-0.00,,68,0.0,0.509
1039,عرو,,3,2,3,39.0,-0.00,,31,-0.3,0.728
1040,سلخ,,3,2,3,38.9,-0.00,,36,-0.4,0.797
1041,سلسل,,3,2,3,38.9,-0.00,,69,0.6,0.29
1042,رقم,,3,2,2,38.8,-0.00,,83,3.3,0.17
1043,رمن,,3,1,2,38.7,-0.18,,55,-0.1,0.581
1044,رهط,,3,1,2,38.7,-0.18,,11,-0.2,0.663
1045,رهن,,3,3,3,38.6,+0.12,,74,0.6,0.353
1046,مزج,,3,1,2,38.6,-0.18,,76,2.7,0.177
1047,جءر,,3,2,2,38.5,-0.00,,23,-0.0,0.518
